Class,Precision,Recall,F1-Score,Support
Rose_Downy_Mildew,0.963963963963964,0.9727272727272728,0.9683257918552036,110
Rose_Black_Spot,0.9763513513513513,0.9633333333333334,0.9697986577181208,300
Chrysanthemum_Healthy,0.9868421052631579,0.974025974025974,0.9803921568627451,77
Chrysanthemum_Bacterial_Leaf_Spot,0.9743589743589743,0.987012987012987,0.9806451612903225,77
Turmeric_Healthy,0.9888888888888889,0.9834254143646409,0.9861495844875346,181
Turmeric_Blotch,0.9894179894179894,0.9842105263157894,0.9868073878627969,190
Rose_Healthy,0.9873873873873874,0.9909584086799277,0.9891696750902527,553
Rose_Yellow_Mosaic_Virus,0.9855072463768116,1.0,0.9927007299270073,68
Turmeric_Aphid_Infestation,0.9883720930232558,1.0,0.9941520467836257,85
Turmeric_Leaf_Spot,0.989247311827957,1.0,0.9945945945945946,92
Money Plant_Money_Plant_Manganese_Toxicity,1.0,1.0,1.0,60
Turmeric_Leaf_Necrosis,1.0,1.0,1.0,81
Chrysanthemum_Septoria_Leaf_Spot,1.0,1.0,1.0,77
Hibiscus_Blight,1.0,1.0,1.0,120
Rose_Mosaic_Virus,1.0,1.0,1.0,100
Rose_Powdery_Mildew,1.0,1.0,1.0,100
Rose_Rust,1.0,1.0,1.0,100
Money Plant_Money_Plant_Chlorosis,1.0,1.0,1.0,11
Money Plant_Money_Plant_Bacterial_Wilt,1.0,1.0,1.0,58
Hibiscus_Scorch,1.0,1.0,1.0,120
Hibiscus_Necrosis,1.0,1.0,1.0,120
Money Plant_Money_Plant_Healthy,1.0,1.0,1.0,276
Hibiscus_Healthy,1.0,1.0,1.0,120
